,소재지(시군구)별,녹지별,항목,단위,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,Unnamed: 20
671,수원시,계,면적[㎡],㎡,1191634.0,1191634.0,1191634.0,1152361.0,1162254.0,1953631.0,1953631.0,1957682.0,1895804.0,1895718.0,1887728.0,1802569.0,1802569.0,1809597.0,1896600.0,1775920.0,
678,성남시,계,시설수[개],개,74.0,88.0,88.0,92.0,92.0,92.0,118.0,118.0,127.0,126.0,135.0,154.0,150.0,138.0,149.0,166.0,
679,성남시,계,면적[㎡],㎡,2160967.0,2257650.0,2241008.0,2216530.0,2216530.0,2216530.0,2273230.0,2274173.0,2276120.0,2123340.0,1978537.0,2173958.0,2163629.0,2156593.0,2173184.0,1283011.0,
686,의정부시,계,시설수[개],개,34.0,127.0,130.0,151.0,229.0,254.0,255.0,265.0,279.0,281.0,281.0,281.0,280.0,280.0,278.0,293.0,
687,의정부시,계,면적[㎡],㎡,258778.0,526166.0,525249.0,577646.0,727248.0,740639.0,741319.0,766702.0,750391.0,753263.0,753263.0,760032.0,755879.0,755879.0,733340.0,745727.0,
694,안양시,계,시설수[개],개,54.0,62.0,89.0,97.0,100.0,104.0,108.0,119.0,119.0,113.0,114.0,112.0,110.0,107.0,107.0,103.0,
695,안양시,계,면적[㎡],㎡,278319.0,317326.0,438392.0,457778.0,461415.0,477629.0,481466.0,500197.0,491928.0,483088.0,486438.0,480628.0,480001.0,476028.0,476028.0,378962.0,
702,부천시,계,시설수[개],개,48.0,48.0,145.0,146.0,161.0,161.0,161.0,161.0,171.0,167.0,202.0,204.0,210.0,209.0,213.0,215.0,
703,부천시,계,면적[㎡],㎡,369613.0,369613.0,666000.0,667487.0,678695.0,678695.0,678695.0,678166.0,676818.0,665672.0,778877.0,772487.0,732000.0,725856.0,738416.0,742737.0,
710,광명시,계,시설수[개],개,28.0,78.0,78.0,162.0,165.0,182.0,193.0,193.0,193.0,215.0,176.0,178.0,178.0,183.0,183.0,183.0,
711,광명시,계,면적[㎡],㎡,239000.0,374740.0,374740.0,375007.0,375809.0,1417089.0,1444813.0,1444813.0,1444813.0,1466380.0,402138.0,404876.0,404876.0,419845.0,419845.0,419845.0,
718,평택시,계,시설수[개],개,17.0,25.0,30.0,115.0,116.0,116.0,121.0,124.0,124.0,124.0,124.0,98.0,384.0,754.0,754.0,754.0,
719,평택시,계,면적[㎡],㎡,674696.0,837483.0,843896.0,1572817.0,1578819.0,1578819.0,1616629.0,1629765.0,1629765.0,1629765.0,1629765.0,611585.0,2514482.0,4909535.0,4910153.0,4910153.0,
726,동두천시,계,시설수[개],개,21.0,21.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,33.0,38.0,38.0,37.0,37.0,43.0,42.0,
727,동두천시,계,면적[㎡],㎡,248583.0,248583.0,240691.0,243153.0,232718.0,229930.0,230197.0,230219.0,230219.0,228338.0,246576.0,236096.0,188517.0,188420.0,212333.0,198903.0,
734,안산시,계,시설수[개],개,31.0,31.0,31.0,66.0,66.0,65.0,79.0,79.0,78.0,78.0,83.0,86.0,87.0,88.0,88.0,88.0,
735,안산시,계,면적[㎡],㎡,1149794.0,1149794.0,1144849.0,1731137.0,1714285.0,1662151.0,2553908.0,2553908.0,2552786.0,2451323.0,2389940.0,2507863.0,2530905.0,2221562.0,2234424.0,2234424.0,
742,고양시,계,시설수[개],개,43.0,87.0,87.0,291.0,315.0,380.0,405.0,403.0,402.0,404.0,413.0,419.0,410.0,424.0,467.0,488.0,
743,고양시,계,면적[㎡],㎡,1034800.0,998003.0,998003.0,1704959.0,2025610.0,2267053.0,2441699.0,2406272.0,2295919.0,2263156.0,2174792.0,2188039.0,1559729.0,1616199.0,2202681.0,2315412.0,
750,과천시,계,시설수[개],개,4.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,89.0,95.0,96.0,115.0,116.0,116.0,
751,과천시,계,면적[㎡],㎡,57859.0,64138.0,64138.0,65302.0,65310.0,65310.0,65242.0,64755.0,64755.0,65160.0,174793.0,178104.0,181350.0,213523.0,212650.0,212650.0,
758,구리시,계,시설수[개],개,18.0,23.0,27.0,29.0,29.0,41.0,40.0,42.0,43.0,41.0,42.0,43.0,43.0,44.0,57.0,57.0,
759,구리시,계,면적[㎡],㎡,211276.0,175680.0,182760.0,185876.0,185877.0,238620.0,225698.0,229301.0,233592.0,230795.0,239833.0,243565.0,237215.0,239191.0,297326.0,271965.0,
766,남양주시,계,시설수[개],개,38.0,44.0,56.0,96.0,103.0,274.0,273.0,320.0,313.0,314.0,323.0,326.0,330.0,332.0,355.0,352.0,
767,남양주시,계,면적[㎡],㎡,475600.0,509222.0,604342.0,822367.0,956142.0,1397795.0,1396269.0,1618780.0,3358345.0,3376246.0,3415837.0,3564388.0,3571053.0,3509355.0,3515628.0,1644599.0,
774,오산시,계,시설수[개],개,36.0,152.0,151.0,158.0,276.0,275.0,275.0,277.0,211.0,219.0,223.0,216.0,218.0,218.0,219.0,221.0,
775,오산시,계,면적[㎡],㎡,640464.0,899943.0,920945.0,969175.0,1189099.0,1186778.0,1186778.0,1189814.0,1120129.0,1183898.0,1160453.0,912249.0,923418.0,924406.0,922015.0,736876.0,
782,시흥시,계,시설수[개],개,48.0,77.0,77.0,139.0,156.0,190.0,305.0,305.0,307.0,307.0,307.0,307.0,281.0,281.0,282.0,286.0,
783,시흥시,계,면적[㎡],㎡,1572424.0,1602730.0,1602730.0,1875670.0,2226016.0,4237298.0,4694288.0,4694288.0,4790481.0,4790481.0,4790481.0,4757328.0,3601056.0,2516775.0,2514231.0,2514823.0,
790,군포시,계,시설수[개],개,48.0,93.0,116.0,127.0,121.0,119.0,121.0,122.0,131.0,130.0,130.0,137.0,139.0,138.0,138.0,137.0,
791,군포시,계,면적[㎡],㎡,420036.0,509697.0,575335.0,654980.0,565872.0,563287.0,563986.0,546971.0,566717.0,562734.0,562734.0,570850.0,571694.0,556702.0,556702.0,474025.0,
798,의왕시,계,시설수[개],개,24.0,35.0,35.0,35.0,35.0,53.0,57.0,55.0,57.0,67.0,122.0,145.0,155.0,155.0,163.0,175.0,
799,의왕시,계,면적[㎡],㎡,72987.0,111292.0,111292.0,111281.0,111281.0,141663.0,173296.0,170238.0,173239.0,198947.0,319827.0,354417.0,381616.0,382992.0,384513.0,445140.0,
806,하남시,계,시설수[개],개,75.0,101.0,101.0,103.0,160.0,198.0,199.0,201.0,197.0,219.0,214.0,208.0,206.0,202.0,202.0,202.0,
807,하남시,계,면적[㎡],㎡,107920.0,160832.0,160832.0,160794.0,461565.0,673918.0,674667.0,664028.0,646695.0,653600.0,643444.0,645517.0,644275.0,647052.0,647052.0,647052.0,
814,용인시,계,시설수[개],개,87.0,87.0,87.0,87.0,472.0,488.0,496.0,496.0,503.0,503.0,503.0,520.0,503.0,503.0,503.0,502.0,
815,용인시,계,면적[㎡],㎡,3944569.0,3944569.0,3944569.0,3944569.0,3598577.0,3631929.0,3653907.0,3655779.0,3686010.0,3686010.0,3686010.0,3726765.0,2637605.0,2493631.0,2493631.0,2490853.0,
822,파주시,계,시설수[개],개,13.0,13.0,156.0,157.0,159.0,163.0,218.0,227.0,234.0,234.0,235.0,241.0,241.0,259.0,259.0,256.0,
823,파주시,계,면적[㎡],㎡,267690.0,267690.0,1551521.0,1552015.0,1567797.0,1590691.0,2438405.0,2550566.0,2561092.0,2570275.0,2581066.0,2593386.0,2586326.0,2732063.0,2732063.0,2647762.0,
830,이천시,계,시설수[개],개,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,58.0,58.0,58.0,58.0,58.0,62.0,70.0,69.0,
831,이천시,계,면적[㎡],㎡,697179.0,703664.0,703664.0,703664.0,703664.0,696964.0,696964.0,696964.0,1117780.0,1117780.0,1117780.0,1117780.0,1117780.0,541116.0,567109.0,542705.0,
838,안성시,계,시설수[개],개,44.0,56.0,56.0,60.0,70.0,70.0,116.0,117.0,130.0,130.0,134.0,145.0,154.0,161.0,176.0,190.0,
839,안성시,계,면적[㎡],㎡,198829.0,153697.0,153697.0,248240.0,1165208.0,1165178.0,1311784.0,1268647.0,1410676.0,1409441.0,1446372.0,1425587.0,1549459.0,1540465.0,1556909.0,1431850.0,
846,김포시,계,시설수[개],개,89.0,89.0,131.0,170.0,173.0,213.0,213.0,216.0,233.0,229.0,238.0,238.0,238.0,228.0,248.0,244.0,
847,김포시,계,면적[㎡],㎡,442172.0,442172.0,810320.0,1284251.0,1285415.0,1392971.0,1392971.0,1404037.0,1450299.0,1438697.0,1458977.0,1458977.0,1458977.0,1418389.0,1514824.0,1530444.0,
854,화성시,계,시설수[개],개,35.0,36.0,36.0,72.0,72.0,79.0,79.0,79.0,79.0,79.0,551.0,559.0,580.0,586.0,591.0,591.0,
855,화성시,계,면적[㎡],㎡,936888.0,940184.0,940184.0,1961999.0,1961999.0,1979760.0,1979760.0,1979760.0,1979760.0,1979760.0,28597043.0,28628919.0,43352919.0,27467752.0,27474638.0,27474638.0,
862,광주시,계,시설수[개],개,76.0,91.0,133.0,198.0,209.0,209.0,208.0,208.0,217.0,214.0,211.0,219.0,220.0,229.0,229.0,217.0,
863,광주시,계,면적[㎡],㎡,408338.0,432073.0,461759.0,588710.0,611418.0,611418.0,608299.0,604551.0,649103.0,693693.0,960238.0,858232.0,873482.0,886932.0,886932.0,864460.0,
870,양주시,계,시설수[개],개,18.0,18.0,7.0,154.0,174.0,300.0,301.0,301.0,301.0,290.0,290.0,243.0,239.0,239.0,247.0,246.0,
871,양주시,계,면적[㎡],㎡,80428.0,80428.0,46125.0,734053.0,838460.0,1349562.0,1356762.0,1356762.0,1356762.0,1298181.0,1284150.0,1052582.0,1001340.0,977122.0,1005034.0,976658.0,
878,포천시,계,시설수[개],개,10.0,24.0,24.0,21.0,21.0,26.0,26.0,40.0,38.0,61.0,68.0,79.0,81.0,82.0,82.0,81.0,
879,포천시,계,면적[㎡],㎡,37508.0,47845.0,48780.0,54695.0,54695.0,74552.0,74552.0,222490.0,172523.0,230623.0,258572.0,281427.0,304443.0,313106.0,313106.0,300112.0,
886,여주시,계,시설수[개],개,,,,,,,,,9.0,9.0,9.0,9.0,7.0,34.0,34.0,34.0,
887,여주시,계,면적[㎡],㎡,,,,,,,,,69257.0,69257.0,69257.0,69513.0,48470.0,106641.0,106641.0,106641.0,
894,여주군,계,시설수[개],개,7.0,7.0,7.0,5.0,5.0,5.0,9.0,9.0,,,,,,,,,
895,여주군,계,면적[㎡],㎡,41468.0,41468.0,41468.0,34008.0,34008.0,34008.0,69563.0,69563.0,,,,,,,,,
902,연천군,계,시설수[개],개,7.0,7.0,7.0,17.0,17.0,24.0,24.0,29.0,29.0,29.0,41.0,42.0,53.0,54.0,53.0,47.0,
903,연천군,계,면적[㎡],㎡,386627.0,386627.0,386627.0,439441.0,439441.0,453483.0,453483.0,477341.0,477341.0,477341.0,521352.0,522801.0,620837.0,621607.0,623066.0,239899.0,
910,가평군,계,시설수[개],개,6.0,6.0,6.0,6.0,7.0,7.0,21.0,45.0,49.0,48.0,53.0,53.0,52.0,52.0,52.0,52.0,
911,가평군,계,면적[㎡],㎡,243901.0,243901.0,243901.0,197185.0,182326.0,182326.0,218976.0,251791.0,255173.0,239514.0,180693.0,156327.0,156274.0,156538.0,156538.0,153170.0,
918,양평군,계,시설수[개],개,4.0,4.0,4.0,7.0,8.0,8.0,8.0,11.0,12.0,15.0,35.0,35.0,35.0,35.0,31.0,33.0,
919,양평군,계,면적[㎡],㎡,28533.0,28533.0,28533.0,17339.0,18069.0,17971.0,17971.0,19885.0,21206.0,28957.0,137273.0,137273.0,137273.0,137273.0,125605.0,129903.0,
926,강원도,계,시설수[개],개,395.0,364.0,390.0,455.0,573.0,626.0,657.0,681.0,701.0,750.0,759.0,694.0,678.0,676.0,683.0,668.0,
927,강원도,계,면적[㎡],㎡,4921760.0,5033355.0,5078483.0,5226708.0,6823282.0,7205313.0,7255338.0,7413940.0,7565619.0,8050530.0,7865036.0,7936854.0,7888639.0,7574501.0,6669222.0,6081286.0,
934,춘천시,계,시설수[개],개,80.0,80.0,88.0,109.0,116.0,123.0,129.0,136.0,136.0,155.0,158.0,163.0,163.0,163.0,163.0,159.0,
935,춘천시,계,면적[㎡],㎡,296788.0,297539.0,312330.0,339954.0,362298.0,376270.0,380040.0,495763.0,495763.0,681371.0,731361.0,755144.0,755144.0,755144.0,755144.0,641566.0,
942,원주시,계,시설수[개],개,59.0,76.0,95.0,114.0,206.0,225.0,247.0,248.0,249.0,255.0,262.0,192.0,192.0,190.0,182.0,198.0,
943,원주시,계,면적[㎡],㎡,1765616.0,1871238.0,1995555.0,2033614.0,3404934.0,3506596.0,3524907.0,3526204.0,3505055.0,3562391.0,3591168.0,3546775.0,3563303.0,3560698.0,2589873.0,2572426.0,
950,강릉시,계,시설수[개],개,14.0,14.0,14.0,19.0,19.0,28.0,29.0,32.0,35.0,35.0,31.0,31.0,31.0,29.0,29.0,26.0,
951,강릉시,계,면적[㎡],㎡,481740.0,481254.0,481254.0,509908.0,509908.0,728615.0,738965.0,772470.0,897674.0,897643.0,631663.0,631663.0,631663.0,628073.0,628073.0,585475.0,
958,동해시,계,시설수[개],개,42.0,47.0,49.0,61.0,61.0,61.0,61.0,61.0,68.0,68.0,68.0,67.0,68.0,67.0,67.0,66.0,
959,동해시,계,면적[㎡],㎡,868438.0,873113.0,892568.0,932535.0,932459.0,932519.0,932519.0,929359.0,956060.0,956036.0,956036.0,980029.0,980214.0,675067.0,675067.0,613011.0,
966,태백시,계,시설수[개],개,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
967,태백시,계,면적[㎡],㎡,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,222460.0,
974,속초시,계,시설수[개],개,61.0,8.0,5.0,11.0,14.0,14.0,13.0,20.0,29.0,31.0,34.0,34.0,34.0,34.0,34.0,33.0,
975,속초시,계,면적[㎡],㎡,347396.0,348429.0,234651.0,249364.0,250832.0,250832.0,250251.0,262534.0,278526.0,277795.0,282573.0,282144.0,281883.0,281883.0,281883.0,97161.0,
982,삼척시,계,시설수[개],개,27.0,27.0,27.0,27.0,34.0,37.0,37.0,37.0,39.0,32.0,32.0,32.0,32.0,31.0,31.0,20.0,
983,삼척시,계,면적[㎡],㎡,193160.0,193160.0,193160.0,193159.0,323955.0,327623.0,327623.0,315225.0,316030.0,306614.0,306614.0,306614.0,306614.0,296131.0,289975.0,204058.0,
990,홍천군,계,시설수[개],개,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,15.0,15.0,
991,홍천군,계,면적[㎡],㎡,107207.0,107207.0,107550.0,107550.0,170040.0,170040.0,170040.0,170040.0,170040.0,170040.0,171202.0,208722.0,207693.0,216801.0,201957.0,202360.0,
998,횡성군,계,시설수[개],개,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,39.0,39.0,39.0,34.0,34.0,34.0,30.0,
999,횡성군,계,면적[㎡],㎡,80805.0,80805.0,80805.0,80805.0,80805.0,52587.0,52587.0,52587.0,52587.0,292777.0,292777.0,292777.0,282072.0,282072.0,247641.0,232404.0,
1006,영월군,계,시설수[개],개,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,8.0,22.0,21.0,
1007,영월군,계,면적[㎡],㎡,17570.0,17570.0,17570.0,17570.0,17570.0,17570.0,26745.0,32744.0,26479.0,26479.0,26479.0,28512.0,28512.0,30833.0,138396.0,137416.0,
1014,평창군,계,시설수[개],개,6.0,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,
1015,평창군,계,면적[㎡],㎡,213677.0,213677.0,213677.0,213677.0,213677.0,224507.0,233507.0,233507.0,233507.0,245486.0,241265.0,241265.0,241265.0,241265.0,241265.0,241387.0,
1022,정선군,계,시설수[개],개,27.0,27.0,27.0,28.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,29.0,29.0,28.0,14.0,
1023,정선군,계,면적[㎡],㎡,153066.0,153066.0,153066.0,152846.0,152846.0,155376.0,155376.0,155376.0,155376.0,155376.0,155376.0,179919.0,201855.0,200642.0,201012.0,123263.0,
1030,철원군,계,시설수[개],개,15.0,15.0,15.0,15.0,15.0,21.0,21.0,21.0,20.0,20.0,20.0,18.0,11.0,10.0,10.0,10.0,
1031,철원군,계,면적[㎡],㎡,24771.0,24771.0,24771.0,24771.0,24771.0,62715.0,62715.0,62715.0,73128.0,73128.0,73128.0,77896.0,65491.0,62962.0,62962.0,62962.0,
1038,화천군,계,시설수[개],개,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1039,화천군,계,면적[㎡],㎡,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,2720.0,,,,,
1046,양구군,계,시설수[개],개,2.0,2.0,2.0,2.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
1047,양구군,계,면적[㎡],㎡,13420.0,13420.0,13420.0,13168.0,21400.0,35501.0,35501.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,35394.0,
1054,인제군,계,시설수[개],개,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,15.0,
1055,인제군,계,면적[㎡],㎡,44500.0,44500.0,44500.0,41391.0,41391.0,48166.0,48166.0,48166.0,48166.0,48166.0,48166.0,48166.0,48166.0,48166.0,60611.0,63472.0,
1062,고성군,계,시설수[개],개,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,
1063,고성군,계,면적[㎡],㎡,3952.0,3952.0,3952.0,3952.0,3952.0,3952.0,3952.0,9412.0,9412.0,9412.0,9412.0,9412.0,9412.0,9412.0,9647.0,13209.0,
1070,양양군,계,시설수[개],개,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,11.0,
1071,양양군,계,면적[㎡],㎡,84474.0,84474.0,84474.0,87264.0,87264.0,87264.0,87264.0,87264.0,87242.0,87242.0,87242.0,87242.0,27498.0,27498.0,27862.0,33262.0,
1078,충청북도,계,시설수[개],개,723.0,723.0,730.0,692.0,845.0,938.0,985.0,1009.0,1094.0,1111.0,1150.0,1193.0,1201.0,1268.0,1325.0,1347.0,
1079,충청북도,계,면적[㎡],㎡,8937803.0,8917699.0,9036419.0,9969768.0,11074057.0,12042272.0,12435002.0,12748170.0,13976412.0,14083912.0,14049866.0,14357000.0,14419928.0,13999335.0,14236391.0,15783736.0,
1086,청주시,계,시설수[개],개,407.0,407.0,411.0,336.0,377.0,377.0,377.0,377.0,377.0,683.0,688.0,682.0,714.0,714.0,714.0,714.0,
1087,청주시,계,면적[㎡],㎡,3484827.0,3484827.0,3491164.0,2709229.0,2851769.0,2840441.0,2872561.0,2870969.0,2870849.0,6611791.0,6588212.0,6592557.0,7005083.0,7005083.0,7005083.0,7005083.0,
1094,충주시,계,시설수[개],개,46.0,46.0,48.0,71.0,79.0,79.0,79.0,79.0,94.0,110.0,118.0,118.0,118.0,128.0,128.0,147.0,
1095,충주시,계,면적[㎡],㎡,1000436.0,1000436.0,1108878.0,2723501.0,2903841.0,2903841.0,2903841.0,2903841.0,2998410.0,3070844.0,3119914.0,3119416.0,3119416.0,2165481.0,2165481.0,4255814.0,
1102,제천시,계,시설수[개],개,14.0,14.0,14.0,14.0,14.0,14.0,14.0,25.0,25.0,25.0,30.0,32.0,32.0,32.0,71.0,80.0,
1103,제천시,계,면적[㎡],㎡,364786.0,344711.0,344711.0,344711.0,344711.0,344711.0,344711.0,395546.0,395546.0,395546.0,427004.0,343069.0,342659.0,342659.0,444131.0,486237.0,
1110,청원군,계,시설수[개],개,191.0,191.0,192.0,194.0,291.0,294.0,289.0,306.0,306.0,,,,,,,,
1111,청원군,계,면적[㎡],㎡,2564414.0,2564385.0,2568326.0,2584230.0,3395043.0,3417909.0,3422262.0,3737720.0,3740942.0,,,,,,,,
1118,보은군,계,시설수[개],개,,,,,,,,,14.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,
1119,보은군,계,면적[㎡],㎡,,,,,,,,,209283.0,212512.0,215480.0,212051.0,260547.0,260044.0,260044.0,260043.0,
1126,옥천군,계,시설수[개],개,8.0,8.0,8.0,8.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,26.0,23.0,23.0,23.0,22.0,
1127,옥천군,계,면적[㎡],㎡,451879.0,451879.0,451879.0,453994.0,424590.0,423209.0,423209.0,423209.0,423209.0,423209.0,423209.0,503636.0,378617.0,378617.0,378617.0,230958.0,
1134,영동군,계,시설수[개],개,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,25.0,25.0,25.0,38.0,30.0,
1135,영동군,계,면적[㎡],㎡,424209.0,424209.0,424209.0,424219.0,424219.0,567059.0,567059.0,567059.0,567059.0,567059.0,567059.0,617513.0,617513.0,585709.0,605541.0,252919.0,
1142,진천군,계,시설수[개],개,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,39.0,39.0,39.0,39.0,39.0,52.0,56.0,59.0,
1143,진천군,계,면적[㎡],㎡,115265.0,115265.0,115265.0,115265.0,115265.0,115265.0,114362.0,114362.0,675934.0,675934.0,566069.0,566069.0,563340.0,772784.0,849697.0,810325.0,
1150,괴산군,계,시설수[개],개,4.0,4.0,4.0,4.0,4.0,14.0,23.0,19.0,19.0,19.0,19.0,30.0,33.0,28.0,32.0,32.0,
1151,괴산군,계,면적[㎡],㎡,83680.0,83680.0,83680.0,83680.0,83680.0,298103.0,371105.0,318180.0,318180.0,318180.0,318180.0,411186.0,387771.0,386140.0,393943.0,402397.0,
1158,음성군,계,시설수[개],개,29.0,29.0,29.0,29.0,29.0,93.0,121.0,121.0,143.0,143.0,162.0,182.0,153.0,202.0,207.0,207.0,
1159,음성군,계,면적[㎡],㎡,229132.0,229132.0,229132.0,229132.0,229132.0,820534.0,987234.0,987234.0,1346906.0,1346906.0,1361518.0,1529036.0,1281015.0,1638851.0,1707502.0,1707502.0,
1166,단양군,계,시설수[개],개,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,
1167,단양군,계,면적[㎡],㎡,103600.0,103600.0,103600.0,103600.0,103600.0,112993.0,112993.0,114385.0,114385.0,146222.0,146955.0,146202.0,146226.0,146226.0,146226.0,146226.0,
1174,증평군,계,시설수[개],개,9.0,9.0,9.0,21.0,21.0,21.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,28.0,28.0,
1175,증평군,계,면적[㎡],㎡,115575.0,115575.0,115575.0,198207.0,198207.0,198207.0,315665.0,315665.0,315709.0,315709.0,316266.0,316265.0,317741.0,317741.0,280126.0,226232.0,
1182,충청남도,계,시설수[개],개,257.0,350.0,575.0,696.0,1021.0,1208.0,1234.0,1220.0,1264.0,1325.0,1492.0,1617.0,1635.0,1657.0,1704.0,1667.0,
1183,충청남도,계,면적[㎡],㎡,5981988.0,6495824.0,10126972.0,9652290.0,13246912.0,14579721.0,15277150.0,14262098.0,15379764.0,15712259.0,17373277.0,18436247.0,18239077.0,18082042.0,18449794.0,16440313.0,
1190,천안시,계,시설수[개],개,72.0,80.0,108.0,107.0,172.0,179.0,189.0,207.0,212.0,225.0,238.0,244.0,243.0,243.0,243.0,246.0,
1191,천안시,계,면적[㎡],㎡,1965472.0,1983082.0,2310446.0,2292105.0,2856296.0,3130510.0,3361562.0,2847814.0,2885456.0,2961834.0,3131946.0,3164102.0,3153142.0,3153142.0,3153142.0,2430020.0,
1198,공주시,계,시설수[개],개,11.0,11.0,11.0,11.0,59.0,75.0,75.0,52.0,88.0,97.0,97.0,97.0,96.0,95.0,95.0,90.0,
1199,공주시,계,면적[㎡],㎡,164111.0,164111.0,164111.0,160716.0,663511.0,926815.0,926815.0,627569.0,733684.0,745404.0,745404.0,745404.0,743876.0,743847.0,743847.0,668634.0,
1206,보령시,계,시설수[개],개,9.0,9.0,9.0,10.0,11.0,11.0,26.0,44.0,44.0,44.0,44.0,153.0,152.0,135.0,136.0,126.0,
1207,보령시,계,면적[㎡],㎡,361020.0,360990.0,360990.0,335634.0,716647.0,715653.0,1007773.0,1043219.0,1043255.0,1043255.0,1043255.0,1989866.0,1934206.0,1716766.0,1711669.0,1684202.0,
1214,아산시,계,시설수[개],개,14.0,98.0,98.0,144.0,191.0,198.0,201.0,202.0,206.0,214.0,214.0,214.0,214.0,243.0,243.0,252.0,
1215,아산시,계,면적[㎡],㎡,361463.0,859454.0,859454.0,1163730.0,1395884.0,1473965.0,1444805.0,1450155.0,1457491.0,1470193.0,1470193.0,1470193.0,1470193.0,1566758.0,1566758.0,1634362.0,
1222,서산시,계,시설수[개],개,24.0,24.0,24.0,33.0,36.0,36.0,36.0,36.0,36.0,39.0,161.0,162.0,161.0,161.0,161.0,152.0,
1223,서산시,계,면적[㎡],㎡,752332.0,752332.0,752332.0,856999.0,859857.0,859857.0,859857.0,859857.0,859857.0,890610.0,2182113.0,2186202.0,2156419.0,2156718.0,2156718.0,1712198.0,
1230,논산시,계,시설수[개],개,16.0,16.0,25.0,34.0,37.0,58.0,58.0,58.0,66.0,71.0,84.0,84.0,85.0,85.0,85.0,75.0,
1231,논산시,계,면적[㎡],㎡,515955.0,515955.0,535103.0,582600.0,599747.0,689848.0,668603.0,668603.0,666495.0,665271.0,745579.0,744519.0,696392.0,691742.0,690517.0,304341.0,
1238,계룡시,계,시설수[개],개,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,24.0,24.0,37.0,37.0,38.0,38.0,37.0,
1239,계룡시,계,면적[㎡],㎡,391067.0,391067.0,392818.0,387329.0,387329.0,387329.0,387329.0,387329.0,387329.0,534748.0,534748.0,610552.0,588642.0,587283.0,594654.0,372226.0,
1246,당진시,계,시설수[개],개,,,,,,,,359.0,285.0,285.0,296.0,314.0,321.0,332.0,336.0,331.0,
1247,당진시,계,면적[㎡],㎡,,,,,,,,3081305.0,2846158.0,2836935.0,2935917.0,2988297.0,2879382.0,2893144.0,2985110.0,2936744.0,
1254,금산군,계,시설수[개],개,9.0,9.0,13.0,12.0,12.0,12.0,25.0,28.0,28.0,28.0,28.0,9.0,8.0,8.0,8.0,8.0,
1255,금산군,계,면적[㎡],㎡,32096.0,32096.0,32281.0,32231.0,32231.0,32231.0,170036.0,169061.0,169061.0,169061.0,169061.0,138886.0,120835.0,120835.0,120835.0,120835.0,
1262,연기군,계,시설수[개],개,8.0,8.0,8.0,18.0,19.0,38.0,45.0,,,,,,,,,,
1263,연기군,계,면적[㎡],㎡,68752.0,68752.0,68752.0,276131.0,276897.0,376620.0,426894.0,,,,,,,,,,
1270,부여군,계,시설수[개],개,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,
1271,부여군,계,면적[㎡],㎡,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,15160.0,14301.0,6876.0,
1278,서천군,계,시설수[개],개,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,35.0,46.0,48.0,48.0,63.0,66.0,79.0,75.0,
